Kod;Nazwa;Rok;Wartosc;Jednostka_miary
0;POLSKA;2004;19.00;%
0;POLSKA;2005;17.60;%
0;POLSKA;2006;14.80;%
0;POLSKA;2007;11.20;%
0;POLSKA;2008;9.50;%
0;POLSKA;2009;12.10;%
0;POLSKA;2010;12.40;%
0;POLSKA;2011;12.50;%
0;POLSKA;2012;13.40;%
0;POLSKA;2013;13.40;%
0;POLSKA;2014;11.40;%
0;POLSKA;2015;9.70;%
0;POLSKA;2016;8.20;%
0;POLSKA;2017;6.60;%
0;POLSKA;2018;5.80;%
0;POLSKA;2019;5.20;%
0;POLSKA;2020;6.30;%
0;POLSKA;2021;5.80;%
0;POLSKA;2022;5.20;%
0;POLSKA;2023;5.10;%
0;POLSKA;2024;5.10;%
200000;DOLNOŚLĄSKIE;2004;22.40;%
200000;DOLNOŚLĄSKIE;2005;20.60;%
200000;DOLNOŚLĄSKIE;2006;16.60;%
200000;DOLNOŚLĄSKIE;2007;11.40;%
200000;DOLNOŚLĄSKIE;2008;10.00;%
200000;DOLNOŚLĄSKIE;2009;12.80;%
200000;DOLNOŚLĄSKIE;2010;13.10;%
200000;DOLNOŚLĄSKIE;2011;12.40;%
200000;DOLNOŚLĄSKIE;2012;13.50;%
200000;DOLNOŚLĄSKIE;2013;13.10;%
200000;DOLNOŚLĄSKIE;2014;10.40;%
200000;DOLNOŚLĄSKIE;2015;8.50;%
200000;DOLNOŚLĄSKIE;2016;7.20;%
200000;DOLNOŚLĄSKIE;2017;5.70;%
200000;DOLNOŚLĄSKIE;2018;5.20;%
200000;DOLNOŚLĄSKIE;2019;4.60;%
200000;DOLNOŚLĄSKIE;2020;5.60;%
200000;DOLNOŚLĄSKIE;2021;4.90;%
200000;DOLNOŚLĄSKIE;2022;4.50;%
200000;DOLNOŚLĄSKIE;2023;4.40;%
200000;DOLNOŚLĄSKIE;2024;4.60;%
201000;Powiat bolesławiecki;2004;25.30;%
201000;Powiat bolesławiecki;2005;22.40;%
201000;Powiat bolesławiecki;2006;17.70;%
201000;Powiat bolesławiecki;2007;13.40;%
201000;Powiat bolesławiecki;2008;11.30;%
201000;Powiat bolesławiecki;2009;15.80;%
201000;Powiat bolesławiecki;2010;14.90;%
201000;Powiat bolesławiecki;2011;12.20;%
201000;Powiat bolesławiecki;2012;13.90;%
201000;Powiat bolesławiecki;2013;12.60;%
201000;Powiat bolesławiecki;2014;8.90;%
201000;Powiat bolesławiecki;2015;7.60;%
201000;Powiat bolesławiecki;2016;5.70;%
201000;Powiat bolesławiecki;2017;4.20;%
201000;Powiat bolesławiecki;2018;3.80;%
201000;Powiat bolesławiecki;2019;3.80;%
201000;Powiat bolesławiecki;2020;5.60;%
201000;Powiat bolesławiecki;2021;5.10;%
201000;Powiat bolesławiecki;2022;3.10;%
201000;Powiat bolesławiecki;2023;2.80;%
201000;Powiat bolesławiecki;2024;3.10;%
202000;Powiat dzierżoniowski;2004;31.70;%
202000;Powiat dzierżoniowski;2005;33.10;%
202000;Powiat dzierżoniowski;2006;29.50;%
202000;Powiat dzierżoniowski;2007;23.70;%
202000;Powiat dzierżoniowski;2008;21.10;%
202000;Powiat dzierżoniowski;2009;24.50;%
202000;Powiat dzierżoniowski;2010;22.30;%
202000;Powiat dzierżoniowski;2011;19.30;%
202000;Powiat dzierżoniowski;2012;20.50;%
202000;Powiat dzierżoniowski;2013;20.20;%
202000;Powiat dzierżoniowski;2014;15.80;%
202000;Powiat dzierżoniowski;2015;11.90;%
202000;Powiat dzierżoniowski;2016;10.00;%
202000;Powiat dzierżoniowski;2017;7.40;%
202000;Powiat dzierżoniowski;2018;6.10;%
202000;Powiat dzierżoniowski;2019;5.20;%
