Kod;Nazwa;Zakres_przedmiotowy;Rok;Wartosc;Jednostka_miary
0;POLSKA;wolne miejsca pracy;2015;71.6;tysiąc
0;POLSKA;wolne miejsca pracy;2016;89.3;tysiąc
0;POLSKA;wolne miejsca pracy;2017;122.5;tysiąc
0;POLSKA;wolne miejsca pracy;2018;153.4;tysiąc
0;POLSKA;wolne miejsca pracy;2019;142.1;tysiąc
0;POLSKA;wolne miejsca pracy;2020;83.4;tysiąc
0;POLSKA;wolne miejsca pracy;2021;136;tysiąc
0;POLSKA;wolne miejsca pracy;2022;139.8;tysiąc
0;POLSKA;wolne miejsca pracy;2023;109.1;tysiąc
0;POLSKA;wskaźnik wolnych miejsc pracy;2015;0.61;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2016;0.76;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2017;0.99;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2018;1.18;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2019;1.07;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2020;0.67;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2021;1.1;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2022;1.11;%
0;POLSKA;wskaźnik wolnych miejsc pracy;2023;0.87;%
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2015;6.7;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2016;8.5;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2017;12.1;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2018;13.2;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2019;11.7;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2020;7.9;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2021;12.5;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2022;13.7;tysiąc
200000;DOLNOŚLĄSKIE;wolne miejsca pracy;2023;10;tysiąc
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2015;0.71;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2016;0.87;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2017;1.22;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2018;1.28;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2019;1.17;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2020;0.83;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2021;1.31;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2022;1.4;%
200000;DOLNOŚLĄSKIE;wskaźnik wolnych miejsc pracy;2023;0.97;%
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2015;2.7;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2016;3;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2017;4.3;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2018;6.5;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2019;4.9;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2020;3.6;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2021;4.8;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2022;4.9;tysiąc
400000;KUJAWSKO-POMORSKIE;wolne miejsca pracy;2023;3.6;tysiąc
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2015;0.51;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2016;0.58;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2017;0.8;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2018;1.16;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2019;0.83;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2020;0.58;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2021;0.91;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2022;0.9;%
400000;KUJAWSKO-POMORSKIE;wskaźnik wolnych miejsc pracy;2023;0.68;%
600000;LUBELSKIE;wolne miejsca pracy;2015;1.7;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2016;2.2;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2017;3.2;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2018;3.2;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2019;3.1;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2020;1.6;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2021;3;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2022;2.9;tysiąc
600000;LUBELSKIE;wolne miejsca pracy;2023;2.1;tysiąc
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2015;0.38;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2016;0.46;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2017;0.68;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2018;0.56;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2019;0.58;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2020;0.35;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2021;0.64;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2022;0.61;%
600000;LUBELSKIE;wskaźnik wolnych miejsc pracy;2023;0.44;%
800000;LUBUSKIE;wolne miejsca pracy;2015;1.8;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2016;2.1;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2017;3.1;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2018;4.4;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2019;2.6;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2020;1.6;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2021;2.5;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2022;3.2;tysiąc
800000;LUBUSKIE;wolne miejsca pracy;2023;2.9;tysiąc
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2015;0.69;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2016;0.78;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2017;1.11;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2018;1.53;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2019;0.94;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2020;0.61;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2021;0.93;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2022;1.2;%
800000;LUBUSKIE;wskaźnik wolnych miejsc pracy;2023;1.09;%
1000000;ŁÓDZKIE;wolne miejsca pracy;2015;3.8;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2016;5.8;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2017;7.5;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2018;7.9;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2019;8.8;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2020;6.2;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2021;7.7;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2022;6.6;tysiąc
1000000;ŁÓDZKIE;wolne miejsca pracy;2023;6.4;tysiąc
1000000;ŁÓDZKIE;wskaźnik wolnych miejsc pracy;2015;0.51;%
