Kod;Nazwa;Rok;Wartosc;Jednostka_miary
0;POLSKA;2017;4527.89;zl
0;POLSKA;2018;4834.76;zl
0;POLSKA;2019;5181.63;zl
0;POLSKA;2020;5523.32;zl
0;POLSKA;2021;6001.02;zl
0;POLSKA;2022;6705.62;zl
0;POLSKA;2023;7595.3;zl
200000;DOLNOŚLĄSKIE;2017;4654.51;zl
200000;DOLNOŚLĄSKIE;2018;4942.39;zl
200000;DOLNOŚLĄSKIE;2019;5323.55;zl
200000;DOLNOŚLĄSKIE;2020;5693.69;zl
200000;DOLNOŚLĄSKIE;2021;6242.88;zl
200000;DOLNOŚLĄSKIE;2022;6945.01;zl
200000;DOLNOŚLĄSKIE;2023;7850.3;zl
201000;Powiat bolesławiecki;2017;3901.94;zl
201000;Powiat bolesławiecki;2018;4214.66;zl
201000;Powiat bolesławiecki;2019;4545.34;zl
201000;Powiat bolesławiecki;2020;4887.95;zl
201000;Powiat bolesławiecki;2021;5461.94;zl
201000;Powiat bolesławiecki;2022;6181.6;zl
201000;Powiat bolesławiecki;2023;6871.28;zl
202000;Powiat dzierżoniowski;2017;3825.15;zl
202000;Powiat dzierżoniowski;2018;4024.94;zl
202000;Powiat dzierżoniowski;2019;4484.28;zl
202000;Powiat dzierżoniowski;2020;4690.2;zl
202000;Powiat dzierżoniowski;2021;5127.97;zl
202000;Powiat dzierżoniowski;2022;5723.65;zl
202000;Powiat dzierżoniowski;2023;6459.49;zl
203000;Powiat głogowski;2017;3918.42;zl
203000;Powiat głogowski;2018;4077.69;zl
203000;Powiat głogowski;2019;4427.98;zl
203000;Powiat głogowski;2020;4763.21;zl
203000;Powiat głogowski;2021;5171.28;zl
203000;Powiat głogowski;2022;5856.76;zl
203000;Powiat głogowski;2023;6660;zl
204000;Powiat górowski;2017;3484.31;zl
204000;Powiat górowski;2018;3815.89;zl
204000;Powiat górowski;2019;3978.78;zl
204000;Powiat górowski;2020;4432.4;zl
204000;Powiat górowski;2021;4862.88;zl
204000;Powiat górowski;2022;5423.11;zl
204000;Powiat górowski;2023;6060.11;zl
205000;Powiat jaworski;2017;3756.46;zl
205000;Powiat jaworski;2018;4029.64;zl
205000;Powiat jaworski;2019;4408;zl
205000;Powiat jaworski;2020;4932.98;zl
205000;Powiat jaworski;2021;5554.54;zl
205000;Powiat jaworski;2022;6142.84;zl
205000;Powiat jaworski;2023;7059.41;zl
206000;Powiat karkonoski;2017;3760.49;zl
206000;Powiat karkonoski;2018;4035.56;zl
206000;Powiat karkonoski;2019;4353.43;zl
206000;Powiat karkonoski;2020;4526.41;zl
206000;Powiat karkonoski;2021;5050.91;zl
206000;Powiat karkonoski;2022;5627.61;zl
206000;Powiat karkonoski;2023;6287.2;zl
207000;Powiat kamiennogórski;2017;3661.88;zl
207000;Powiat kamiennogórski;2018;4013.33;zl
207000;Powiat kamiennogórski;2019;4319.48;zl
207000;Powiat kamiennogórski;2020;4532.19;zl
207000;Powiat kamiennogórski;2021;4885.26;zl
207000;Powiat kamiennogórski;2022;5550.65;zl
207000;Powiat kamiennogórski;2023;6213.96;zl
